age,income,transactions_30d,avg_check,days_since_last_login,support_tickets,risk_score,engagement_score,target_churn
23,35000.93,10,501.61,14,8,0.6217,38.85,1
54,37392.21,3,1985.12,6,14,0.3194,15.46,0
34,70077.25,4,2147.64,3,14,0.3201,40.57,0
37,33025.47,1,2964.36,2,5,0.465,28.53,0
24,38954.34,17,1140.04,1,14,0.3806,29.79,0
20,42156.44,2,3508.75,21,6,0.7607,59.74,0
45,32935.86,6,3253.13,5,12,0.5561,47.15,1
24,52776.66,15,847.63,6,10,0.4635,25.58,1
24,30483.91,4,1744.17,4,10,0.7124,52.54,0
34,47055.47,10,2264.49,1,16,0.6287,37.68,0
51,32890.37,1,2355.62,7,34,0.1569,65.38,0
19,32858.86,16,1603.87,12,8,0.4907,27.69,0
28,30186.01,16,1513.55,0,20,0.2494,35.31,0
24,38638.45,13,1790.92,6,12,0.3718,30.86,0
22,53753.59,7,940.89,12,9,0.6323,45.38,0
21,52802.98,20,2950.44,5,15,0.6568,33.62,1
26,58244.41,1,2164.64,0,12,0.6765,59.77,0
40,62039.32,4,1989.24,1,26,0.5198,62.69,0
20,30426.23,13,2181.93,11,1,0.9677,79.89,1
30,33103.81,22,3707.58,3,6,0.5158,26.48,0
37,32064.44,11,5017.48,4,17,0.269,25.74,0
23,49066.57,30,1748.23,5,27,0.5183,34.03,0
48,47637.49,6,1787.47,0,8,0.4214,6.38,0
38,46864.93,2,2481.02,2,21,0.5646,66.05,0
35,45692.09,0,2861.66,24,7,0.3659,74.86,1
19,37230.07,9,958.14,6,10,0.4894,80.98,1
42,47247.87,14,2516.25,6,19,0.2649,19.15,0
31,43557.51,10,1163.82,27,16,0.6322,81.77,0
25,35711.08,3,3101.17,1,7,0.7078,31.69,0
19,38566.14,23,5649.63,11,30,0.597,60.84,0
29,45035.82,17,1248.32,3,31,0.5444,61.62,0
31,85193.2,14,875.22,11,16,0.3316,28.95,0
26,46216.17,2,2528.14,1,5,0.9504,26.11,1
36,31662.11,19,1857.12,14,13,0.7888,33.27,0
23,55238.43,12,1823.55,18,2,0.5534,7.18,0
23,35257.82,3,4155.4,0,2,0.3943,54.44,1
25,32361.37,15,1257.21,13,15,0.6642,57.6,0
25,33694.81,22,854.62,16,22,0.3072,52.51,1
36,39441.81,14,5345.2,2,13,0.7095,13.52,0
31,38481.22,23,556.75,8,29,0.666,42.72,1
27,62863.78,9,2419.11,1,3,0.3413,39.25,1
23,46927.13,15,2590.34,5,28,0.6093,67.51,0
20,36074.52,13,1155.76,7,10,0.6771,0.0,0
24,36354.3,15,1623.54,4,20,0.3625,45.45,1
36,36063.6,3,5337.11,0,36,0.626,100.0,0
24,59049.35,18,1995.1,5,12,0.4383,38.0,1
33,40109.4,14,2080.8,5,11,0.3286,14.49,0
28,74626.0,5,2909.75,17,13,0.411,45.27,0
23,49057.49,29,2707.22,1,42,0.5016,68.91,0
47,37400.22,10,4340.16,1,20,0.7895,71.58,1
27,52194.0,3,4233.3,6,4,0.8049,72.66,0
34,36487.19,9,1237.64,9,25,0.5598,58.32,0
36,51437.14,12,2671.68,7,1,0.3523,82.12,1
28,33892.15,1,1902.47,6,2,0.7263,30.64,0
38,64970.64,8,2272.6,8,8,0.5343,49.59,1
34,57263.48,19,2190.06,20,22,0.1448,66.65,1
29,36321.46,11,1454.11,6,3,0.5455,12.59,0
30,46569.94,7,3222.55,16,9,0.6147,53.59,1
33,30289.05,8,2676.65,5,17,0.8073,45.8,1
21,75923.62,22,1295.84,14,32,0.2736,68.45,1
38,42904.31,10,4199.98,5,8,0.7513,34.71,0
55,71790.77,4,1789.04,8,15,0.2344,62.46,1
42,34162.34,19,1959.1,0,37,0.6577,57.31,1
34,42327.23,4,3153.8,13,1,0.2165,62.54,1
18,35720.08,16,2525.04,25,9,0.4311,26.97,0
21,50043.75,26,506.34,0,22,0.5251,42.32,1
28,48524.31,10,2729.34,14,5,0.4484,18.67,0
34,36515.93,10,4739.72,6,36,0.5626,76.09,0
19,34023.19,7,863.89,5,9,0.6446,50.05,0
24,34614.02,5,3411.2,0,1,0.3539,39.82,1
25,51719.64,17,1161.45,9,5,0.6284,13.25,0
25,36986.34,21,1913.3,2,35,0.534,67.98,0
25,67997.64,1,827.32,7,19,0.6279,78.36,0
21,40174.5,1,1830.47,3,3,1.0,63.41,1
23,35547.54,6,1645.6,1,11,0.4671,46.62,0
25,41472.04,30,877.13,4,34,0.2847,62.97,1
26,93862.15,2,2503.98,2,6,0.6724,42.12,0
20,62326.21,14,3385.62,8,17,0.6861,55.81,0
19,33591.64,33,594.97,5,27,0.4763,34.02,0
28,38543.89,10,3331.97,10,19,0.6045,51.76,1
24,54778.93,16,1473.86,18,5,0.5109,30.68,0
39,55620.33,11,1569.01,4,36,0.4713,69.55,0
30,53237.57,7,2049.22,1,3,0.6311,22.25,0
25,38072.97,21,2617.05,3,12,0.6329,37.53,0
32,37063.33,10,2292.38,2,19,0.5911,45.63,0
52,33047.1,9,913.73,5,34,0.0047,45.29,0
22,38141.05,8,2957.95,8,3,0.5145,38.44,0
33,41655.17,13,3551.57,3,0,0.6483,37.48,0
26,34879.06,4,3689.36,2,16,0.6507,26.79,1
26,66763.67,25,3050.86,4,38,0.538,64.46,0
29,43554.9,36,4027.94,10,21,0.6405,33.29,0
21,45043.13,3,1688.38,3,5,0.7981,58.15,0
37,33676.99,13,830.88,30,17,0.2643,25.41,0
41,42767.84,35,2818.11,9,28,0.3882,62.91,1
29,50020.92,2,614.92,2,13,0.6375,60.51,0
39,51350.66,3,3331.52,21,23,0.5837,68.46,0
21,35909.61,3,2211.35,6,10,0.6807,55.2,1
25,54414.25,1,3008.73,6,10,0.4536,48.73,1
27,34767.38,30,1297.86,9,28,0.4501,30.46,0
47,61972.94,4,3968.93,3,27,0.5234,71.31,1
37,41153.82,7,1252.7,13,18,0.213,87.18,1
36,60059.41,8,633.06,26,26,0.16,51.27,0
50,40179.27,7,2311.67,4,27,0.1609,37.3,0
22,43362.88,45,5289.63,9,35,0.5761,25.68,0
24,56351.95,14,2878.01,2,9,0.7666,82.11,0
21,34664.32,7,905.09,7,4,0.5551,41.44,1
32,31519.02,10,1662.25,10,5,0.3978,47.97,1
20,36159.23,5,3491.03,8,3,0.5709,35.7,0
30,48383.08,4,4482.54,12,18,0.6865,77.37,1
26,40095.5,28,5286.94,10,29,0.6297,39.48,0
43,33035.16,4,3167.03,3,11,0.4214,54.92,1
25,42063.75,19,1217.55,3,11,0.4327,37.06,1
19,44383.07,7,781.9,22,3,0.6408,50.62,1
34,38216.29,18,3743.31,11,1,0.7046,61.6,1
38,46385.16,10,1618.2,13,4,0.7592,43.04,0
37,47900.77,6,1792.23,16,37,0.6576,89.35,1
18,30128.45,17,2625.06,5,24,0.508,21.01,1
32,39498.07,24,618.61,6,31,0.5556,45.82,0
20,43239.64,14,724.48,2,15,0.2791,47.09,1
23,38838.81,22,1590.98,2,11,0.5405,53.31,1
28,35742.48,24,2951.28,10,3,0.6112,70.53,1
54,56176.41,7,557.04,14,27,0.1484,33.69,0
50,44958.21,21,1751.35,20,0,0.6358,44.74,0
21,41849.29,7,1405.69,12,6,0.4098,43.71,1
44,36863.85,8,2085.05,3,16,0.2873,22.31,0
23,39933.98,7,1569.11,12,6,0.7407,25.1,0
26,52797.57,17,546.99,10,17,0.6155,35.24,0
23,55151.56,21,510.5,8,17,0.3349,40.8,1
30,31810.67,11,593.11,5,10,0.6409,28.76,0
31,42416.95,5,3380.17,8,10,0.7143,31.81,0
22,66612.66,10,2378.42,7,14,0.6502,47.6,0
32,56400.45,4,861.12,7,17,0.5926,68.8,0
21,37832.97,8,1305.37,3,14,0.4772,60.84,0
34,61263.82,27,3409.54,3,20,0.7001,57.1,0
36,32171.19,7,1682.94,11,5,0.6453,46.27,1
50,31959.66,7,579.67,11,18,0.9329,38.36,0
29,52508.7,6,3032.86,9,13,0.2156,66.46,1
30,46357.79,13,2220.67,16,4,0.617,44.06,1
46,49470.92,4,3162.29,8,13,0.2678,35.92,0
31,65381.52,7,1590.01,0,15,0.3037,39.54,0
43,31556.74,16,905.97,9,3,0.6747,50.12,0
42,59350.51,7,3595.02,12,6,0.3164,69.21,1
31,57456.97,9,2128.56,2,10,0.6087,64.79,1
36,58218.65,19,3440.46,11,2,0.6165,53.99,1
49,45039.39,14,3045.69,2,19,0.8088,74.87,1
34,44842.55,24,1374.35,16,39,0.4682,56.9,0
25,39757.45,20,2369.99,6,22,0.3458,37.81,1
19,30392.33,27,720.63,4,19,0.5318,31.25,1
51,47936.79,8,5101.25,16,27,0.6125,42.55,1
29,57488.76,16,526.58,6,18,0.3357,31.75,0
38,31537.04,11,2535.91,1,9,0.728,72.78,1
34,48448.2,20,662.78,4,33,0.4827,52.16,0
52,35333.05,15,3326.6,14,30,0.5119,50.63,1
30,43426.8,7,2707.01,2,8,0.5623,54.82,1
42,51403.0,3,1843.89,4,14,0.3164,31.28,0
39,30457.36,5,3000.69,13,38,0.5124,86.17,0
33,56919.59,8,1931.47,9,22,0.5302,56.5,0
42,54722.61,5,566.11,10,14,0.3298,28.06,0
36,31515.29,4,3122.82,10,4,0.4706,64.53,1
47,42024.13,14,1302.58,0,14,0.1728,2.31,0
23,34825.15,25,4940.49,4,29,0.652,65.19,0
45,50553.5,5,2775.31,2,30,0.3647,59.88,1
30,33820.56,4,4116.18,26,22,0.2052,88.79,1
21,32955.61,6,5509.2,5,1,0.3562,47.58,1
40,52420.61,4,3472.62,8,15,0.3418,32.36,0
37,52535.35,8,1019.04,16,11,0.4073,23.99,0
38,49714.6,13,2077.59,2,21,0.5304,35.73,0
24,60980.4,50,1937.43,1,46,0.4666,36.39,1
24,35908.03,1,551.44,3,4,0.7636,48.62,0
42,52286.43,4,3739.58,12,14,0.5435,50.12,1
20,62311.66,18,512.93,10,13,0.7392,49.06,1
26,30382.96,44,1217.78,4,39,0.5227,51.59,1
29,40942.38,3,3382.09,0,4,0.456,57.16,1
21,60668.67,9,4535.74,22,21,0.3536,61.91,1
37,44166.08,2,3638.4,12,6,0.4254,23.53,0
29,37336.49,0,1049.66,2,10,0.6677,53.29,0
20,33517.72,25,1592.97,22,22,0.6018,45.58,0
41,41029.71,2,765.05,1,14,0.5891,36.9,0
42,39243.45,27,1960.8,16,14,0.2969,48.44,1
51,49743.59,26,5945.24,2,12,0.7279,79.78,1
36,45085.83,14,2743.67,8,10,0.3224,8.36,0
24,44898.05,8,1959.68,2,3,0.5898,40.3,0
23,39047.44,14,3594.45,1,21,0.6325,53.5,0
30,33255.86,7,2254.99,5,16,0.2602,74.43,1
25,34265.87,16,592.02,19,26,0.2449,52.3,0
29,52534.1,16,2518.76,10,5,0.6978,51.87,1
28,40853.48,7,3903.47,18,8,0.4948,30.0,0
41,63901.02,13,1992.96,0,21,0.6263,83.78,0
19,39327.17,16,1363.57,2,19,0.2674,47.18,1
26,61682.72,28,2311.04,18,4,0.703,80.43,1
21,33946.31,6,3076.79,1,10,0.4991,46.38,0
53,31856.9,3,3960.11,5,30,0.6968,68.96,1
26,32118.97,12,1047.37,5,5,0.4744,17.44,0
26,48798.06,14,3228.91,8,9,0.6999,8.89,0
22,62493.57,18,1086.47,1,27,0.545,60.18,0
32,32407.62,11,2153.51,11,18,0.6107,40.24,0
31,35206.44,4,2914.21,3,21,0.297,15.9,1
32,33876.52,7,4909.76,8,3,0.6699,40.06,0
48,38185.65,9,913.38,7,13,0.2557,8.9,0
37,51356.06,2,3167.73,11,18,0.6225,59.85,0
37,30740.74,3,1162.36,6,7,0.5928,28.59,0
28,49490.59,7,3905.57,1,30,0.6569,80.7,0
31,41836.28,15,1357.88,7,15,0.3239,59.09,1
19,30136.0,21,1108.72,20,16,0.3804,33.21,1
35,34298.42,6,599.83,11,3,0.4857,37.07,1
28,39832.72,10,1868.19,2,5,0.4625,19.05,0
28,35047.07,10,3062.55,3,22,0.6096,57.56,0
42,45254.5,9,1501.07,16,22,0.2532,36.81,0
37,88807.77,11,1034.04,6,12,0.3467,19.75,0
42,33894.72,6,2545.7,7,16,0.3195,28.12,0
54,46117.4,9,3110.35,17,16,0.3663,46.07,1
34,36676.39,6,4042.36,7,17,0.71,40.76,1
24,41771.07,7,3912.99,4,2,0.338,64.2,1
22,45920.52,12,1427.65,3,2,0.7325,59.06,1
36,38471.98,21,1784.73,10,20,0.519,22.09,0
24,59151.03,3,1020.08,1,23,0.7996,93.86,1
21,56298.29,20,1855.07,16,8,0.6496,18.18,0
19,31017.75,9,4493.45,2,2,0.5788,52.52,1
29,59797.27,25,1381.81,2,26,0.2661,60.65,1
21,62853.46,21,1594.21,12,34,0.2882,65.35,1
28,30376.99,22,1713.98,1,7,0.5001,57.62,1
34,33818.08,7,3057.15,18,2,0.1897,65.95,1
21,32747.44,10,4019.22,9,2,0.5395,22.53,0
25,48950.53,12,754.35,11,11,0.4756,49.51,0
18,47323.5,4,515.34,13,9,0.4812,29.93,1
34,33809.99,2,4207.71,3,17,0.6244,53.32,0
28,49886.99,35,969.23,2,31,0.5074,53.78,1
39,37770.37,12,3454.77,0,21,0.2019,28.02,0
26,46948.43,7,2992.16,22,7,0.7048,34.14,0
31,57913.68,2,2005.42,13,23,0.5868,15.28,1
27,36446.41,2,1284.17,16,7,0.7224,45.3,0
55,31791.61,11,951.41,6,35,0.0,38.23,0
36,47823.84,2,2488.22,3,20,0.4832,64.0,1
23,40021.88,16,1234.69,10,13,0.673,33.34,0
38,54785.17,8,3913.16,6,6,0.6976,41.16,0
18,34464.78,6,4006.57,11,7,0.5143,44.9,0
46,44363.71,27,1676.37,7,15,0.3728,57.01,1
39,54077.69,4,4132.33,6,12,0.2813,26.71,0
28,45201.12,3,2726.6,15,10,0.749,29.89,1
37,31027.87,10,1075.7,11,17,0.2996,32.44,0
42,57473.17,10,895.09,5,41,0.4417,76.59,0
20,69166.95,5,2936.38,11,4,0.62,22.73,0
26,63229.4,13,2007.33,2,8,0.6594,47.24,1
35,43412.4,12,4194.14,10,3,0.6619,52.96,1
19,60426.32,23,1606.86,12,11,0.653,22.79,0
32,34184.44,27,5801.2,6,12,0.8666,57.34,1
36,56809.01,3,2439.72,3,6,0.6123,39.77,1
33,50599.22,6,510.11,6,6,0.696,47.65,0
22,34784.94,6,2943.1,11,0,0.6935,38.12,0
19,42307.35,8,2160.26,7,15,0.7282,91.43,0
49,46341.77,2,4026.51,0,28,0.085,49.07,0
38,37148.91,12,4157.15,2,23,0.5031,40.66,1
22,64212.27,37,3548.5,10,27,0.5696,23.96,0
29,47342.6,13,3731.28,8,4,0.6807,25.62,0
31,46161.16,12,2441.52,5,16,0.7517,19.56,0
20,68778.58,30,821.5,1,22,0.5421,28.51,0
38,43000.05,17,2558.54,2,7,0.8194,69.65,1
50,37392.84,6,1376.38,12,13,0.3305,14.38,0
45,36009.49,4,738.36,3,7,0.4966,84.32,1
22,38632.41,34,2564.22,10,31,0.5388,47.09,0
28,39353.86,9,2489.27,3,8,0.5365,54.09,0
