age,age_group,workclass,education_level,education_years,marital_status,occupation,relationship,race,sex,capital_gain_usd,capital_loss_usd,hours_per_week,native_country,source_split,high_income
41,35-44,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,train,0
42,35-44,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,test,0
25,25-34,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,train,0
38,35-44,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,train,1
30,25-34,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,44,United-States,train,0
28,25-34,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,0,0,40,United-States,test,0
24,17-24,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,train,0
26,25-34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,train,1
44,35-44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,test,1
27,25-34,State-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,58,United-States,train,0
31,25-34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1573,40,United-States,train,0
41,35-44,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,El-Salvador,train,1
26,25-34,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,train,0
20,17-24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,30,United-States,test,0
24,17-24,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,45,United-States,test,0
28,25-34,Private,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,,train,0
49,45-54,State-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,train,1
24,17-24,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,train,0
83,65+,,HS-grad,9,Widowed,,Not-in-family,White,Female,0,0,20,United-States,train,0
67,65+,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,60,Italy,test,1
62,55-64,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,8614,0,45,United-States,test,1
29,25-34,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,train,0
40,35-44,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,10,Mexico,test,0
45,45-54,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,1
22,17-24,Private,10th,6,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,test,0
39,35-44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,54,Dominican-Republic,train,1
48,45-54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,test,0
51,45-54,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,train,1
49,45-54,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,test,0
36,35-44,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,United-States,train,0
28,25-34,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,45,United-States,test,0
38,35-44,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,train,0
44,35-44,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,70,United-States,train,1
31,25-34,Local-gov,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4064,0,40,,train,0
38,35-44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Canada,train,0
64,55-64,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,train,0
25,25-34,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,40,Mexico,train,0
45,45-54,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,test,0
29,25-34,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,40,United-States,test,0
42,35-44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Cuba,test,1
27,25-34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,train,0
43,35-44,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,test,0
28,25-34,Private,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,test,0
23,17-24,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,60,United-States,train,0
66,65+,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,train,1
64,55-64,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,test,0
49,45-54,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,0
48,45-54,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,train,0
39,35-44,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,train,1
21,17-24,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,test,0
40,35-44,Private,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0,0,40,United-States,test,0
33,25-34,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,59,Mexico,train,0
25,25-34,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,train,0
48,45-54,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,1
38,35-44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,test,1
45,45-54,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,train,1
45,45-54,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,test,1
63,55-64,Private,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,train,0
45,45-54,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,England,train,1
36,35-44,Private,Assoc-voc,11,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,train,0
31,25-34,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,0
64,55-64,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,17,United-States,test,0
34,25-34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,4650,0,50,United-States,test,0
41,35-44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,train,1
63,55-64,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,2174,0,40,United-States,train,0
52,45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,train,1
56,55-64,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,train,0
27,25-34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,test,0
29,25-34,Private,HS-grad,9,Never-married,Protective-serv,Other-relative,Black,Male,0,0,40,United-States,train,0
26,25-34,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,test,0
50,45-54,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,0,40,United-States,train,0
34,25-34,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,train,1
42,35-44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,test,0
19,17-24,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,15,United-States,train,0
45,45-54,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,test,0
74,65+,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,2149,30,United-States,test,0
52,45-54,Private,1st-4th,2,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,test,0
31,25-34,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,test,0
51,45-54,Private,11th,7,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,train,0
45,45-54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,train,1
43,35-44,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,test,0
22,17-24,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,0
29,25-34,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,30,United-States,test,0
18,17-24,Private,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,test,0
44,35-44,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,test,1
33,25-34,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,65,United-States,train,0
35,35-44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,test,0
50,45-54,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,48,South,train,0
24,17-24,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,train,0
25,25-34,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,50,United-States,test,0
63,55-64,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,test,1
54,45-54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,test,1
46,45-54,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,test,1
30,25-34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,train,0
43,35-44,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,test,0
47,45-54,Private,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Female,0,0,46,United-States,train,0
34,25-34,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,78,United-States,test,0
22,17-24,Private,HS-grad,9,Never-married,Sales,Other-relative,Black,Female,0,0,37,United-States,train,0
19,17-24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,2176,0,35,Germany,test,0
57,55-64,Federal-gov,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,test,0
48,45-54,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,65,United-States,train,1
18,17-24,Private,10th,6,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,train,0
25,25-34,Private,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,test,0
29,25-34,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,1
22,17-24,Private,Assoc-acdm,12,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States,train,0
20,17-24,Self-emp-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,18,United-States,test,0
23,17-24,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,test,0
42,35-44,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,23,United-States,train,0
35,35-44,,Some-college,10,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,36,United-States,train,0
54,45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,test,0
48,45-54,State-gov,Some-college,10,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States,train,0
25,25-34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,80,United-States,train,1
49,45-54,Private,Some-college,10,Separated,Sales,Unmarried,White,Female,0,0,36,United-States,test,0
38,35-44,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,train,1
36,35-44,Private,10th,6,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,train,0
68,65+,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Canada,train,0
39,35-44,,12th,8,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,train,0
72,65+,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,17,United-States,train,0
24,17-24,,HS-grad,9,Separated,,Not-in-family,White,Female,0,0,38,United-States,train,0
30,25-34,Private,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,test,0
44,35-44,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,train,1
26,25-34,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,train,0
33,25-34,Private,Bachelors,13,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,24,United-States,train,0
46,45-54,State-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,0
36,35-44,Self-emp-not-inc,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,train,0
44,35-44,Private,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,train,0
50,45-54,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,train,0
53,45-54,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,30,United-States,test,0
49,45-54,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,train,1
43,35-44,,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,7,United-States,train,1
43,35-44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Poland,test,0
26,25-34,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,test,0
32,25-34,Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,train,0
35,35-44,Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,United-States,test,0
69,65+,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,15,France,test,1
41,35-44,Private,1st-4th,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Mexico,train,0
24,17-24,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,test,0
26,25-34,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,train,0
34,25-34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,Iran,train,0
76,65+,Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20,United-States,train,0
18,17-24,Private,12th,8,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,20,United-States,train,0
26,25-34,Private,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,0,40,Mexico,train,0
48,45-54,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,test,0
38,35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,test,0
49,45-54,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,test,1
28,25-34,Private,1st-4th,2,Married-spouse-absent,Other-service,Own-child,Other,Female,0,0,35,Dominican-Republic,train,0
41,35-44,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,3137,0,40,United-States,train,0
49,45-54,Private,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0,0,20,United-States,test,0
48,45-54,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,train,0
37,35-44,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,Thailand,test,0
56,55-64,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,train,1
48,45-54,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,train,0
53,45-54,Local-gov,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,train,0
45,45-54,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,train,1
44,35-44,Local-gov,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,60,United-States,train,0
27,25-34,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,test,0
49,45-54,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,train,1
48,45-54,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,test,0
21,17-24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,594,0,40,United-States,train,0
28,25-34,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,train,1
26,25-34,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,test,0
43,35-44,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,35,United-States,train,1
63,55-64,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,train,0
35,35-44,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,84,United-States,train,0
25,25-34,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Other,Male,0,0,50,United-States,train,0
36,35-44,Self-emp-not-inc,11th,7,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,test,0
64,55-64,State-gov,Doctorate,16,Widowed,Prof-specialty,Not-in-family,Black,Male,8614,0,50,United-States,test,1
37,35-44,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1485,50,United-States,test,0
39,35-44,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,45,United-States,train,0
22,17-24,Self-emp-not-inc,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,75,United-States,train,0
38,35-44,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,50,United-States,test,0
26,25-34,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,train,0
17,17-24,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,test,0
30,25-34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,40,Greece,test,1
24,17-24,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,test,0
46,45-54,Private,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,train,0
45,45-54,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,train,1
23,17-24,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,test,0
67,65+,Private,HS-grad,9,Separated,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States,train,0
34,25-34,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,50,Philippines,train,1
23,17-24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,test,0
39,35-44,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,35,United-States,test,0
31,25-34,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,test,0
26,25-34,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,55,United-States,test,0
24,17-24,Private,5th-6th,3,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,0,40,Mexico,train,0
43,35-44,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,test,1
64,55-64,Self-emp-not-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,train,0
